environment,method,metric,deletion_replacement,k,status,explain_time_sec,eval_time_sec,value,auc,curve
lunarLander,perturbationSaliency,AIM,,3,OK,2.5687813758850098,0.02101922035217285,0.3956,,
lunarLander,perturbationSaliency,AUM,,3,OK,2.5687813758850098,0.016539573669433594,0.3656,,
lunarLander,perturbationSaliency,PGI,,3,OK,2.5687813758850098,0.912299394607544,4.421018065880239,,
lunarLander,perturbationSaliency,PGU,,3,OK,2.5687813758850098,0.9257726669311523,5.2718730881139635,,
lunarLander,perturbationSaliency,RIS,,3,OK,2.5687813758850098,5.092092990875244,2.781835918330205,,
lunarLander,perturbationSaliency,DeletionCurve,mean,3,OK,2.5687813758850098,0.02451610565185547,,0.53957,"[0.7988, 0.6738, 0.63, 0.63, 0.5884, 0.5428, 0.437, 0.448, 0.448, 0.346, 0.5046]"
lunarLander,perturbationSaliency,DeletionCurve,median,3,OK,2.5687813758850098,0.04752659797668457,,0.53655,"[0.7988, 0.6732, 0.6246, 0.6246, 0.5988, 0.5402, 0.444, 0.4468, 0.4468, 0.3148, 0.5046]"
lunarLander,perturbationSaliency,DeletionCurve,zero,3,OK,2.5687813758850098,0.07206082344055176,,0.49561000000000005,"[0.7988, 0.6736, 0.6114, 0.6114, 0.5822, 0.5386, 0.4404, 0.4418, 0.4418, 0.151, 0.129]"
lunarLander,tabularShap,AIM,,3,OK,13.19574236869812,0.028035640716552734,0.1062,,
lunarLander,tabularShap,AUM,,3,OK,13.19574236869812,0.02006816864013672,0.712,,
lunarLander,tabularShap,PGI,,3,OK,13.19574236869812,0.945601224899292,4.772377048529685,,
lunarLander,tabularShap,PGU,,3,OK,13.19574236869812,0.9187698364257812,4.685986223497987,,
lunarLander,tabularShap,RIS,,3,OK,13.19574236869812,2.3908376693725586,2.415382932070798,,
lunarLander,tabularShap,DeletionCurve,mean,3,OK,13.19574236869812,0.028511524200439453,,0.51205,"[1.0, 0.4968, 0.517, 0.517, 0.444, 0.4062, 0.4972, 0.4934, 0.4934, 0.5032, 0.5046]"
