environment,method,metric,deletion_replacement,k,status,explain_time_sec,eval_time_sec,value,auc,curve
lunarLander,perturbationSaliency,AIM,,3,OK,3.4519002437591553,0.021053314208984375,0.4018,,
lunarLander,perturbationSaliency,AUM,,3,OK,3.4519002437591553,0.01651310920715332,0.3632,,
lunarLander,perturbationSaliency,PGI,,3,OK,3.4519002437591553,0.791334867477417,4.551062001329661,,
lunarLander,perturbationSaliency,PGU,,3,OK,3.4519002437591553,0.7568466663360596,5.309339259459823,,
lunarLander,perturbationSaliency,RIS,,3,OK,3.4519002437591553,6.44595193862915,2.4505959415775846,,
lunarLander,perturbationSaliency,DeletionCurve,mean,3,OK,3.4519002437591553,0.04555106163024902,,0.37080537254301976,"[1.0, 0.7037670110259704, 0.6255093220074012, 0.6255093220074012, 0.45415776038035727, 0.3233109658680513, 0.15571385494849968, 0.11063886632690319, 0.11063886632690319, 0.09880775653870981, 0.0]"
lunarLander,perturbationSaliency,DeletionCurve,median,3,OK,3.4519002437591553,0.08259987831115723,,0.38498623624209316,"[1.0, 0.7036414960106239, 0.630597728712683, 0.630597728712683, 0.46761470841845193, 0.3266889771746351, 0.21502820029605732, 0.12696290768150204, 0.12696290768150204, 0.12176770773279318, 0.0]"
lunarLander,perturbationSaliency,DeletionCurve,zero,3,OK,3.4519002437591553,0.12015628814697266,,0.5294772670709554,"[1.0, 0.85750126872725, 0.789145871068899, 0.789145871068899, 0.6399063810322619, 0.5820781928641914, 0.4791536945869644, 0.2227500443514561, 0.2227500443514561, 0.21234130265817625, 0.0]"
lunarLander,tabularShap,AIM,,3,OK,11.260383605957031,0.029523849487304688,0.1062,,
lunarLander,tabularShap,AUM,,3,OK,11.260383605957031,0.02200484275817871,0.712,,
lunarLander,tabularShap,PGI,,3,OK,11.260383605957031,1.0350110530853271,4.869216822369396,,
lunarLander,tabularShap,PGU,,3,OK,11.260383605957031,0.9819490909576416,4.71464528600499,,
lunarLander,tabularShap,RIS,,3,OK,11.260383605957031,2.103628396987915,2.336645697935904,,
lunarLander,tabularShap,DeletionCurve,mean,3,OK,11.260383605957031,0.02453780174255371,,0.25746469325256066,"[1.0, 0.5185597383981198, 0.41524162250572844, 0.41524162250572844, 0.24062089342232693, 0.17429690295235273, 0.12634114419050116, 0.07901147207750585, 0.07901147207750585, 0.02632206439583685, 0.0]"
lunarLander,tabularShap,DeletionCurve,median,3,OK,11.260383605957031,0.04904890060424805,,0.2604729464909586,"[1.0, 0.5950697324654644, 0.4446837869294127, 0.4446837869294127, 0.2321504485026303, 0.18129312043013318, 0.11059792297553968, 0.033621700172115195, 0.033621700172115195, 0.029007266332762616, 0.0]"
lunarLander,tabularShap,DeletionCurve,zero,3,OK,11.260383605957031,0.07060098648071289,,0.217009273569804,"[1.0, 0.45468768567946644, 0.346374842752313, 0.346374842752313, 0.19360992250840495, 0.14272952145047096, 0.12759347616264693, 0.02102486158662715, 0.02102486158662715, 0.016672721219170548, 0.0]"
lunarLander,sarfa,AIM,,3,OK,4.458589553833008,0.02250385284423828,0.4478,,
lunarLander,sarfa,AUM,,3,OK,4.458589553833008,0.01751089096069336,0.3962,,
lunarLander,sarfa,PGI,,3,OK,4.458589553833008,0.9714763164520264,4.43944132469371,,
